id,task_type,machine_type,site_zone,weather_condition,operator_experience_years,duration_minutes,recorded_date
1,grading,loader,Zone C,clear,15.9,78,2026-09-02
2,excavation,loader,Zone A,extreme_heat,12.2,100,2026-07-14
3,material_loading,excavator,Zone B,wind,5.1,90,2026-09-03
4,material_loading,loader,Zone C,extreme_heat,4.1,66,2026-07-03
5,material_loading,grader,Zone A,clear,2.1,124,2026-09-22
6,material_loading,dozer,Zone C,extreme_heat,3.3,114,2026-07-28
7,dozing,grader,Zone A,rain,1.8,171,2026-07-15
8,trenching,loader,Zone B,rain,8.0,86,2026-09-17
9,material_loading,loader,Zone A,overcast,16.2,56,2026-09-09
10,material_loading,grader,Zone B,wind,16.7,123,2026-08-23
11,grading,dozer,Zone A,overcast,3.6,148,2026-08-01
12,hauling,dozer,Zone A,clear,7.2,53,2026-09-18
13,excavation,dozer,Zone D,clear,6.6,87,2026-08-25
14,trenching,dozer,Zone C,clear,15.6,81,2026-06-16
15,material_loading,loader,Zone D,extreme_heat,12.4,67,2026-09-19
16,trenching,loader,Zone C,clear,1.2,83,2026-07-08
17,excavation,loader,Zone C,overcast,8.1,103,2026-05-30
18,dozing,dozer,Zone D,clear,0.5,50,2026-05-27
19,dozing,dozer,Zone A,clear,17.1,46,2026-06-30
20,trenching,loader,Zone D,rain,6.2,95,2026-06-25
21,material_loading,dozer,Zone D,clear,12.4,93,2026-08-15
22,excavation,excavator,Zone B,clear,8.0,112,2026-07-10
23,dozing,loader,Zone D,rain,12.3,95,2026-06-13
24,hauling,dozer,Zone C,extreme_heat,9.5,63,2026-07-03
25,dozing,loader,Zone B,clear,12.3,93,2026-09-19
26,trenching,dozer,Zone A,wind,8.5,115,2026-06-01
27,hauling,dozer,Zone D,overcast,9.2,57,2026-09-22
28,trenching,grader,Zone D,clear,1.4,91,2026-08-22
29,trenching,grader,Zone D,clear,12.2,78,2026-06-18
30,excavation,grader,Zone D,overcast,16.2,75,2026-06-19
31,excavation,grader,Zone B,clear,15.2,72,2026-07-22
32,hauling,dozer,Zone A,clear,13.0,59,2026-08-23
33,material_loading,loader,Zone A,clear,2.9,65,2026-06-24
34,grading,excavator,Zone C,clear,10.0,75,2026-07-31
35,trenching,dozer,Zone D,overcast,16.3,87,2026-06-05
36,dozing,grader,Zone C,rain,5.7,135,2026-08-04
37,excavation,dozer,Zone C,rain,8.1,102,2026-06-28
38,excavation,dozer,Zone B,overcast,17.7,75,2026-07-16
39,trenching,grader,Zone A,rain,2.0,83,2026-08-30
40,trenching,loader,Zone B,clear,8.5,86,2026-08-10
41,excavation,loader,Zone D,overcast,4.9,105,2026-07-15
42,trenching,loader,Zone A,clear,14.2,75,2026-07-01
43,trenching,excavator,Zone B,wind,15.2,101,2026-07-24
44,hauling,excavator,Zone B,rain,8.6,126,2026-08-21
45,material_loading,dozer,Zone A,extreme_heat,14.1,99,2026-07-10
46,trenching,loader,Zone D,rain,7.4,104,2026-06-23
47,grading,excavator,Zone B,rain,2.3,91,2026-07-08
48,trenching,excavator,Zone D,clear,12.1,88,2026-09-14
49,dozing,loader,Zone D,clear,14.9,103,2026-07-03
50,excavation,dozer,Zone C,clear,11.3,86,2026-05-28
51,dozing,grader,Zone C,rain,6.1,144,2026-08-18
