id,operator_id,machine_id,task_type,site_zone,weather_condition,status,scheduled_date,estimated_duration_minutes,actual_duration_minutes,started_at,completed_at
1,7,1,trenching,Zone C,wind,in_progress,2026-09-23,125,,2026-09-23T08:36:00Z,
2,4,3,hauling,Zone A,clear,in_progress,2026-09-23,129,,2026-09-23T07:49:00Z,
3,5,2,trenching,Zone A,rain,assigned,2026-09-23,93,,,
4,5,4,excavation,Zone B,extreme_heat,assigned,2026-09-23,92,,,
5,6,2,hauling,Zone C,clear,cancelled,2026-09-23,122,,,
6,8,4,material_loading,Zone B,extreme_heat,completed,2026-09-12,66,76,2026-09-12T09:10:00Z,2026-09-12T10:26:00Z
7,1,3,excavation,Zone C,clear,completed,2026-09-09,143,122,2026-09-09T09:52:00Z,2026-09-09T11:54:00Z
8,8,4,hauling,Zone D,rain,completed,2026-09-19,117,164,2026-09-19T11:13:00Z,2026-09-19T13:57:00Z
9,5,6,dozing,Zone D,wind,completed,2026-09-18,62,59,2026-09-18T14:34:00Z,2026-09-18T15:33:00Z
10,8,1,trenching,Zone A,rain,completed,2026-09-16,91,86,2026-09-16T08:32:00Z,2026-09-16T09:58:00Z
11,2,4,excavation,Zone D,wind,completed,2026-09-12,65,91,2026-09-12T12:38:00Z,2026-09-12T14:09:00Z
12,5,6,material_loading,Zone A,extreme_heat,completed,2026-09-18,115,98,2026-09-18T07:43:00Z,2026-09-18T09:21:00Z
13,5,5,grading,Zone A,extreme_heat,completed,2026-09-16,65,68,2026-09-16T06:46:00Z,2026-09-16T07:54:00Z
14,6,2,dozing,Zone A,wind,completed,2026-09-09,126,145,2026-09-09T09:09:00Z,2026-09-09T11:34:00Z
15,6,3,grading,Zone A,rain,completed,2026-09-17,107,91,2026-09-17T07:59:00Z,2026-09-17T09:30:00Z
16,2,5,grading,Zone B,overcast,completed,2026-09-13,55,47,2026-09-13T13:52:00Z,2026-09-13T14:39:00Z
17,7,2,dozing,Zone B,extreme_heat,completed,2026-09-14,66,66,2026-09-14T14:55:00Z,2026-09-14T16:01:00Z
18,8,1,grading,Zone B,clear,completed,2026-09-16,130,182,2026-09-16T11:28:00Z,2026-09-16T14:30:00Z
19,4,1,trenching,Zone A,rain,completed,2026-09-17,47,54,2026-09-17T14:14:00Z,2026-09-17T15:08:00Z
20,4,3,hauling,Zone D,rain,completed,2026-09-21,49,49,2026-09-21T07:32:00Z,2026-09-21T08:21:00Z
21,8,4,grading,Zone A,clear,completed,2026-09-14,61,85,2026-09-14T13:15:00Z,2026-09-14T14:40:00Z
22,8,6,trenching,Zone A,clear,completed,2026-09-12,100,100,2026-09-12T12:26:00Z,2026-09-12T14:06:00Z
23,4,2,dozing,Zone D,rain,completed,2026-09-16,138,138,2026-09-16T07:15:00Z,2026-09-16T09:33:00Z
24,2,4,dozing,Zone A,clear,completed,2026-09-16,68,68,2026-09-16T13:15:00Z,2026-09-16T14:23:00Z
25,4,2,excavation,Zone D,overcast,completed,2026-09-12,114,97,2026-09-12T07:59:00Z,2026-09-12T09:36:00Z
26,1,4,material_loading,Zone D,extreme_heat,completed,2026-09-19,96,82,2026-09-19T08:24:00Z,2026-09-19T09:46:00Z
27,8,2,grading,Zone C,rain,completed,2026-09-16,134,188,2026-09-16T14:42:00Z,2026-09-16T17:50:00Z
28,6,1,trenching,Zone D,wind,completed,2026-09-22,119,167,2026-09-22T14:03:00Z,2026-09-22T16:50:00Z
29,2,2,trenching,Zone A,rain,completed,2026-09-09,112,106,2026-09-09T06:32:00Z,2026-09-09T08:18:00Z
30,1,5,trenching,Zone D,wind,completed,2026-09-16,60,69,2026-09-16T09:37:00Z,2026-09-16T10:46:00Z
